0.019	780
0.037	780
0.056	780
0.074	780
0.093	780
0.111	780
0.13	780
0.148	780
0.166	780
0.185	780
0.203	780
0.222	780
0.24	780
0.259	780
0.277	780
0.295	780
0.314	780
0.332	780
0.351	780
0.369	780
0.388	780
0.406	780
0.424	780
0.443	780
0.461	780
0.48	780
0.497	780
0.516	780
0.533	780
0.55	780
0.569	780
0.586	780
0.604	780
0.622	780
0.64	780
0.657	780
0.674	780
0.693	780
0.71	780
0.728	780
0.746	780
0.763	780
0.781	780
0.817	1347
0.834	1347
0.851	1347
0.87	1347
0.887	1347
0.905	1347
0.923	1347
0.941	1347
0.958	1347
0.976	1347
0.994	1347
1.011	1347
1.03	1347
1.047	1347
1.064	1347
1.083	1347
1.1	1347
1.118	1347
1.136	1347
1.154	1347
1.171	1347
1.189	1347
1.207	1347
1.224	1347
1.243	1347
1.26	1347
1.277	1347
1.296	1347
1.313	1347
1.331	1347
1.348	1347
1.366	1347
1.384	1347
1.401	1347
1.419	1347
1.437	1347
1.455	1347
1.472	1347
1.49	1347
1.508	1347
1.525	1347
1.544	1347
1.561	1347
1.579	1347
1.597	1347
1.614	1347
1.632	1347
1.65	1347
1.668	1347
1.685	1347
1.703	1347
1.721	1347
1.738	1347
1.757	1347
1.774	1347
1.792	1347
1.81	1347
1.827	1347
1.845	1347
1.863	1347
1.881	1347
1.898	1347
1.915	1347
1.933	1347
1.951	1347
1.969	1347
1.986	1347
2.004	1347
2.022	1347
2.039	1347
2.058	1347
2.075	1347
2.093	1347
2.111	1347
2.128	1347
2.164	799
2.182	799
2.199	799
2.217	799
2.235	799
2.252	799
2.271	799
2.288	799
2.306	799
2.324	799
2.341	799
2.359	799
2.377	799
2.395	799
2.412	799
2.43	799
2.448	799
2.465	799
2.483	799
2.5	799
2.519	799
2.536	799
2.553	799
2.572	799
2.589	799
2.607	799
2.625	799
2.642	799
2.66	799
2.678	799
2.696	799
2.713	799
2.732	799
2.749	799
2.766	799
2.785	799
2.802	799
2.82	799
2.838	799
2.855	799
2.873	799
2.891	799
2.909	799
2.926	799
2.962	3119
2.979	3119
2.998	3119
3.015	3119
3.033	3119
3.05	3119
3.067	3119
3.086	3119
3.103	3119
3.121	3119
3.139	3119
3.156	3119
3.174	3119
3.192	3119
3.21	3119
3.227	3119
